bddd2f18 bf666667 (-0.108000, -0.900000) :33
bdd0e560 bf666667 (-0.102000, -0.900000) :1a
bdc49ba8 bf666667 (-0.096000, -0.900000) :18
bdb851e8 bf666667 (-0.090000, -0.900000) :14
bdac0830 bf666667 (-0.084000, -0.900000) :10
bd9fbe78 bf666667 (-0.078000, -0.900000) :f
bd9374b8 bf666667 (-0.072000, -0.900000) :f
bd872b00 bf666667 (-0.066000, -0.900000) :13
bd75c290 bf666667 (-0.060000, -0.900000) :16
bd5d2f20 bf666667 (-0.054000, -0.900000) :e
bd449ba0 bf666667 (-0.048000, -0.900000) :b
be3e76c8 bf64dd2f (-0.186000, -0.894000) :b
be3851ec bf64dd2f (-0.180000, -0.894000) :c
be322d10 bf64dd2f (-0.174000, -0.894000) :15
be2c0830 bf64dd2f (-0.168000, -0.894000) :15
be25e354 bf64dd2f (-0.162000, -0.894000) :22
be1fbe78 bf64dd2f (-0.156000, -0.894000) :18
be199998 bf64dd2f (-0.150000, -0.894000) :2c
be1374bc bf64dd2f (-0.144000, -0.894000) :16
be0d4fe0 bf64dd2f (-0.138000, -0.894000) :19
be072b00 bf64dd2f (-0.132000, -0.894000) :14
be010624 bf64dd2f (-0.126000, -0.894000) :18
bdf5c290 bf64dd2f (-0.120000, -0.894000) :21
bde978d8 bf64dd2f (-0.114000, -0.894000) :36
bddd2f18 bf64dd2f (-0.108000, -0.894000) :77
bdd0e560 bf64dd2f (-0.102000, -0.894000) :25
bdc49ba8 bf64dd2f (-0.096000, -0.894000) :20
bdb851e8 bf64dd2f (-0.090000, -0.894000) :16
bdac0830 bf64dd2f (-0.084000, -0.894000) :12
bd9fbe78 bf64dd2f (-0.078000, -0.894000) :11
bd9374b8 bf64dd2f (-0.072000, -0.894000) :13
bd872b00 bf64dd2f (-0.066000, -0.894000) :25
bd75c290 bf64dd2f (-0.060000, -0.894000) :10
bd5d2f20 bf64dd2f (-0.054000, -0.894000) :c
bd449ba0 bf64dd2f (-0.048000, -0.894000) :b
be810625 bf6353f8 (-0.252000, -0.888000) :b
be7be76c bf6353f8 (-0.246000, -0.888000) :b
be75c290 bf6353f8 (-0.240000, -0.888000) :10
be449ba4 bf6353f8 (-0.192000, -0.888000) :b
be3e76c8 bf6353f8 (-0.186000, -0.888000) :b
be3851ec bf6353f8 (-0.180000, -0.888000) :c
be322d10 bf6353f8 (-0.174000, -0.888000) :e
be2c0830 bf6353f8 (-0.168000, -0.888000) :f
be25e354 bf6353f8 (-0.162000, -0.888000) :11
be1fbe78 bf6353f8 (-0.156000, -0.888000) :12
be199998 bf6353f8 (-0.150000, -0.888000) :17
be1374bc bf6353f8 (-0.144000, -0.888000) :5e
be0d4fe0 bf6353f8 (-0.138000, -0.888000) :21
be072b00 bf6353f8 (-0.132000, -0.888000) :1a
be010624 bf6353f8 (-0.126000, -0.888000) :25
bdf5c290 bf6353f8 (-0.120000, -0.888000) :27
bde978d8 bf6353f8 (-0.114000, -0.888000) :ff
bddd2f18 bf6353f8 (-0.108000, -0.888000) :ff
bdd0e560 bf6353f8 (-0.102000, -0.888000) :41
bdc49ba8 bf6353f8 (-0.096000, -0.888000) :1b
bdb851e8 bf6353f8 (-0.090000, -0.888000) :17
bdac0830 bf6353f8 (-0.084000, -0.888000) :15
bd9fbe78 bf6353f8 (-0.078000, -0.888000) :13
bd9374b8 bf6353f8 (-0.072000, -0.888000) :15
bd872b00 bf6353f8 (-0.066000, -0.888000) :14
bd75c290 bf6353f8 (-0.060000, -0.888000) :10
bd5d2f20 bf6353f8 (-0.054000, -0.888000) :d
bd449ba0 bf6353f8 (-0.048000, -0.888000) :b
be810625 bf61cac1 (-0.252000, -0.882000) :b
be7be76c bf61cac1 (-0.246000, -0.882000) :11
be75c290 bf61cac1 (-0.240000, -0.882000) :10
be6f9db0 bf61cac1 (-0.234000, -0.882000) :b
be4ac084 bf61cac1 (-0.198000, -0.882000) :b
be449ba4 bf61cac1 (-0.192000, -0.882000) :b
be3e76c8 bf61cac1 (-0.186000, -0.882000) :b
be3851ec bf61cac1 (-0.180000, -0.882000) :c
be322d10 bf61cac1 (-0.174000, -0.882000) :d
be2c0830 bf61cac1 (-0.168000, -0.882000) :e
be25e354 bf61cac1 (-0.162000, -0.882000) :f
be1fbe78 bf61cac1 (-0.156000, -0.882000) :11
be199998 bf61cac1 (-0.150000, -0.882000) :15
be1374bc bf61cac1 (-0.144000, -0.882000) :19
be0d4fe0 bf61cac1 (-0.138000, -0.882000) :3b
be072b00 bf61cac1 (-0.132000, -0.882000) :52
be010624 bf61cac1 (-0.126000, -0.882000) :69
bdf5c290 bf61cac1 (-0.120000, -0.882000) :ff
bde978d8 bf61cac1 (-0.114000, -0.882000) :ff
bddd2f18 bf61cac1 (-0.108000, -0.882000) :ff
bdd0e560 bf61cac1 (-0.102000, -0.882000) :39
bdc49ba8 bf61cac1 (-0.096000, -0.882000) :5b
bdb851e8 bf61cac1 (-0.090000, -0.882000) :1b
bdac0830 bf61cac1 (-0.084000, -0.882000) :1f
bd9fbe78 bf61cac1 (-0.078000, -0.882000) :26
bd9374b8 bf61cac1 (-0.072000, -0.882000) :21
